fold,test_subject,test_subjects,val_subjects,best_epoch,best_train_acc,best_val_acc,best_val_loss,epoch_accuracy,epoch_precision,epoch_recall,epoch_f1,epoch_roc_auc
1,315_999,"315,999","401,368",44,0.8548850574712644,0.7611111402511597,0.47554320096969604,0.47619047619047616,0.48031496062992124,0.6130653266331658,0.5386313465783664,0.47439698492462307
2,421_463,"421,463","368,315",2,0.6515040352164343,0.7076923251152039,0.6198123693466187,0.46984924623115576,0.4411764705882353,0.22613065326633167,0.29900332225913623,0.5262998409131082
3,346_444,"346,444","463,401",1,0.6192196531791907,0.5040650367736816,0.7508450746536255,0.535175879396985,0.5119047619047619,0.8911917098445595,0.6502835538752363,0.7433337545810692
4,311_342,"311,342","999,401",1,0.6002886002886003,0.43360432982444763,0.7528190016746521,0.5858585858585859,0.6764705882352942,0.345,0.45695364238410596,0.6708163265306124
5,340_368_401,"340,368,401","311,444",2,0.5390428211586902,0.5874999761581421,0.6860556602478027,0.49464285714285716,0.49363057324840764,0.5555555555555556,0.5227655986509275,0.44838582124772
