fold,test_subject,test_subjects,val_subjects,best_epoch,best_train_acc,best_val_acc,best_val_loss,epoch_accuracy,epoch_precision,epoch_recall,epoch_f1,epoch_roc_auc
1,311,311,401,100,0.6481481481481481,0.6627218723297119,0.6450099945068359,0.745,0.9803921568627451,0.5,0.6622516556291391,0.9648
2,315,315,421,1,0.5513112884834663,0.5050504803657532,0.7231661081314087,0.3768844221105528,0.31343283582089554,0.21212121212121213,0.25301204819277107,0.2295959595959596
3,340,340,999,1,0.49400342661336377,0.39500001072883606,0.7096322178840637,0.695,0.7294117647058823,0.62,0.6702702702702703,0.7515000000000001
4,342,342,401,100,0.700447928331467,0.6982248425483704,0.6155341863632202,0.4897959183673469,0.5,0.95,0.6551724137931034,0.18916666666666665
5,346,346,311,82,0.8596691386195094,0.9750000238418579,0.22161927819252014,0.41414141414141414,0.4319526627218935,0.7849462365591398,0.5572519083969466,0.241884280593958
6,368,368,315,1,0.504258943781942,0.44723618030548096,0.6921038627624512,0.5130890052356021,0.5263157894736842,0.7,0.6008583690987125,0.5473626373626373
7,401,401,311,95,0.8226711560044894,0.9350000023841858,0.3111478388309479,0.6331360946745562,0.84,0.26582278481012656,0.40384615384615385,0.8244725738396623
8,421,421,444,29,0.7153451226468911,0.6650000214576721,0.5783848166465759,0.5656565656565656,1.0,0.13131313131313133,0.23214285714285715,0.7870625446383022
9,444,444,342,3,0.5150997150997151,0.3928571343421936,0.7264837026596069,0.435,0.46107784431137727,0.77,0.5767790262172284,0.35109999999999997
10,463,463,999,1,0.5339805825242718,0.4950000047683716,0.7022156715393066,0.465,0.47107438016528924,0.57,0.5158371040723982,0.455
11,999,999,421,3,0.4957216200798631,0.5101010203361511,0.6969403028488159,0.44,0.43617021276595747,0.41,0.422680412371134,0.4349
