fold,test_subject,test_subjects,val_subjects,best_epoch,best_train_acc,best_val_acc,best_val_loss,epoch_accuracy,epoch_precision,epoch_recall,epoch_f1,epoch_roc_auc
1,311,311,"421,368",22,0.70550576184379,0.7326478362083435,0.5528692603111267,0.905,0.9175257731958762,0.89,0.9035532994923858,0.9811
2,315,315,"421,340",5,0.703989703989704,0.6407034993171692,0.7118591070175171,0.33668341708542715,0.35398230088495575,0.40404040404040403,0.37735849056603776,0.277979797979798
3,340,340,"463,401",1,0.5739570164348925,0.5284552574157715,0.6978029012680054,0.78,0.7692307692307693,0.8,0.7843137254901961,0.849
4,342,342,"999,368",22,0.7225063938618926,0.695652186870575,0.5852205753326416,0.4030612244897959,0.4508670520231214,0.78,0.5714285714285714,0.14322916666666666
5,346,346,"311,444",278,0.9884095299420477,0.8675000071525574,0.35813188552856445,0.3282828282828283,0.3795180722891566,0.6774193548387096,0.4864864864864865,0.16374807987711215
6,368,368,"342,315",1,0.5424920127795527,0.4177215099334717,0.7488785982131958,0.8795811518324608,0.8235294117647058,0.98,0.8949771689497716,0.9804395604395605
7,401,401,"311,342",8,0.6128625472887768,0.5631313323974609,0.6707167625427246,0.5325443786982249,0.5,0.012658227848101266,0.024691358024691357,0.7524613220815752
8,421,421,"444,999",22,0.8596265292981327,0.7024999856948853,0.6565819978713989,0.5303030303030303,1.0,0.06060606060606061,0.11428571428571428,0.8101214161820223
9,444,444,"342,999",1,0.509967845659164,0.4141414165496826,0.7113935947418213,0.2,0.13414634146341464,0.11,0.12087912087912088,0.1658
10,463,463,"401,444",4,0.7787610619469026,0.577235758304596,0.7427504062652588,0.35,0.3469387755102041,0.34,0.3434343434343434,0.2524
11,999,999,"401,311",73,0.7262958280657396,0.7425474524497986,0.5346131324768066,0.47,0.45588235294117646,0.31,0.36904761904761907,0.4189
