model_name,result_dir,n_folds,validation_method,n_splits,use_validation_subject,n_validation_subjects,validation_seed,epochs,batch_size,learning_rate,weight_decay,patience,validation_frequency,early_stopping_metric,label_smoothing,epoch_accuracy_mean,epoch_accuracy_std,epoch_accuracy_min,epoch_accuracy_max,epoch_precision_mean,epoch_precision_std,epoch_precision_min,epoch_precision_max,epoch_recall_mean,epoch_recall_std,epoch_recall_min,epoch_recall_max,epoch_f1_mean,epoch_f1_std,epoch_f1_min,epoch_f1_max,epoch_roc_auc_mean,epoch_roc_auc_std,epoch_roc_auc_min,epoch_roc_auc_max
Raw EEGNet-like CNN,C:\Users\janre\PycharmProjects\eeg-caffeine-input-representation-cnn\outputs\experiments\2026-07-31_065441_LOSO_nvalsubj2\results\raw_eegnetlike,11,LOSO,5,True,2,42,500,32,0.0003,0.0001,30,30,val_loss,0.0,0.5190127455481343,0.05525794622475021,0.413265306122449,0.581151832460733,0.5169694062325995,0.05445975802824623,0.4444444444444444,0.6041666666666666,0.6766341315077348,0.15905648077395082,0.4556962025316455,0.89,0.5770300489447154,0.06567918322064217,0.4556962025316455,0.6568265682656826,0.5506648331292753,0.0874734941908753,0.381,0.6698
Features1D CNN,C:\Users\janre\PycharmProjects\eeg-caffeine-input-representation-cnn\outputs\experiments\2026-07-31_065441_LOSO_nvalsubj2\results\features1d_cnn,11,LOSO,5,True,2,42,500,32,0.0003,0.0001,30,30,val_loss,0.0,0.5490728210186522,0.14155337809811103,0.3939393939393939,0.8010471204188482,0.5782066441519991,0.3102883546999018,0.0,1.0,0.4310689282670425,0.3308123013573666,0.0,0.96,0.4276626856972366,0.25603472727228277,0.0,0.8347826086956521,0.5863984701601891,0.2784780471509716,0.2057291666666666,0.9441758241758242
Features2D CNN,C:\Users\janre\PycharmProjects\eeg-caffeine-input-representation-cnn\outputs\experiments\2026-07-31_065441_LOSO_nvalsubj2\results\features2d_cnn,11,LOSO,5,True,2,42,500,32,0.0003,0.0001,30,30,val_loss,0.0,0.553403977543301,0.21909038764679017,0.295,0.9476439790575916,0.6387170827584637,0.338333535903046,0.0232558139534883,1.0,0.4530106402005879,0.38108461171814295,0.01,1.0,0.43611882730132834,0.33274315361303625,0.0139860139860139,0.9489795918367347,0.5195654691135965,0.33391650047336924,0.1087499999999999,0.9811
Hybrid Raw + Features CNN,C:\Users\janre\PycharmProjects\eeg-caffeine-input-representation-cnn\outputs\experiments\2026-07-31_065441_LOSO_nvalsubj2\results\hybrid_cnn,11,LOSO,5,True,2,42,500,32,0.0003,0.0001,30,30,val_loss,0.0,0.528191670340801,0.09409940181899733,0.404040404040404,0.6858638743455497,0.6280477731399177,0.20233390008294028,0.4213836477987421,1.0,0.4533329133796858,0.3180319752279336,0.03,0.85,0.4274048436209077,0.2220622391337365,0.058252427184466,0.7391304347826086,0.5850871377756811,0.15590017784974716,0.3020993343573989,0.7626772778287929
