fold,test_subject,test_subjects,val_subjects,best_epoch,best_train_acc,best_val_acc,best_val_loss,epoch_accuracy,epoch_precision,epoch_recall,epoch_f1,epoch_roc_auc
1,315_999,"315,999",368,8,0.7584881486226778,0.7120419144630432,0.5783206224441528,0.48120300751879697,0.48333333333333334,0.5829145728643216,0.5284738041002278,0.47766331658291455
2,421_463,"421,463",401,1,0.5675505050505051,0.5502958297729492,0.6782858967781067,0.5728643216080402,0.5491525423728814,0.8140703517587939,0.6558704453441295,0.6267265978131865
3,346_444,"346,444",999,9,0.7256922086284611,0.6150000095367432,0.664272665977478,0.5703517587939698,0.5514018691588785,0.6113989637305699,0.5798525798525799,0.5910526980917477
4,311_342,"311,342",401,3,0.6551071878940732,0.5443786978721619,0.6866936087608337,0.6136363636363636,0.6205128205128205,0.605,0.6126582278481013,0.6337755102040816
5,340_368_401,"340,368,401",311,1,0.5391804457225018,0.5450000166893005,0.6914994120597839,0.5357142857142857,0.5241730279898219,0.7383512544802867,0.6130952380952381,0.5308613630275897
