fold,test_subject,test_subjects,val_subjects,best_epoch,best_train_acc,best_val_acc,best_val_loss,epoch_accuracy,epoch_precision,epoch_recall,epoch_f1,epoch_roc_auc
1,315_999,"315,999","401,368",20,0.7227011494252874,0.7833333611488342,0.467599481344223,0.48120300751879697,0.4823008849557522,0.5477386934673367,0.5129411764705882,0.5295979899497487
2,421_463,"421,463","368,315",15,0.6727806309611152,0.6820513010025024,0.6132432222366333,0.6256281407035176,0.6329787234042553,0.5979899497487438,0.6149870801033591,0.6765233201181788
3,346_444,"346,444","463,401",11,0.6553468208092486,0.5826558470726013,0.6728169322013855,0.5778894472361809,0.5389408099688473,0.8963730569948186,0.6731517509727627,0.6930115000631871
4,311_342,"311,342","999,401",13,0.7287157287157288,0.5853658318519592,0.6548879742622375,0.6388888888888888,0.6051660516605166,0.82,0.6963906581740976,0.565
5,340_368_401,"340,368,401","311,444",5,0.5768261964735516,0.5249999761581421,0.6952903270721436,0.46964285714285714,0.47151898734177217,0.5340501792114696,0.5008403361344538,0.45075830048852666
