fold,test_subject,test_subjects,val_subjects,best_epoch,best_train_acc,best_val_acc,best_val_loss,epoch_accuracy,epoch_precision,epoch_recall,epoch_f1,epoch_roc_auc
1,311,311,"421,368",105,0.6248399487836107,0.6658097505569458,0.6384947299957275,0.715,0.8771929824561403,0.5,0.6369426751592356,0.9218999999999999
2,315,315,"421,340",1,0.5617760617760618,0.5175879597663879,0.7260050177574158,0.35175879396984927,0.4,0.6060606060606061,0.4819277108433735,0.2769696969696969
3,340,340,"463,401",21,0.6276864728192162,0.56639564037323,0.6711652874946594,0.65,1.0,0.3,0.46153846153846156,0.8484999999999998
4,342,342,"999,368",115,0.6822250639386189,0.6751918196678162,0.634357213973999,0.46938775510204084,0.48936170212765956,0.92,0.6388888888888888,0.23697916666666669
5,346,346,"311,444",34,0.7643271088216356,0.7875000238418579,0.5296906232833862,0.37373737373737376,0.4093567251461988,0.7526881720430108,0.5303030303030303,0.179621095750128
6,368,368,"342,315",4,0.48562300319488816,0.48860758543014526,0.7091445922851562,0.5078534031413613,0.5159574468085106,0.97,0.6736111111111112,0.15604395604395604
7,401,401,"311,342",13,0.6090794451450189,0.6843434572219849,0.6747227907180786,0.6449704142011834,0.8064516129032258,0.31645569620253167,0.45454545454545453,0.771026722925457
8,421,421,"444,999",1,0.5492594977462975,0.625,0.6677467226982117,0.5707070707070707,0.6666666666666666,0.2828282828282828,0.3971631205673759,0.5639220487705336
9,444,444,"342,999",9,0.52475884244373,0.502525269985199,0.7296580076217651,0.51,0.5050505050505051,1.0,0.6711409395973155,0.6624
10,463,463,"401,444",46,0.6934260429835651,0.6747967600822449,0.6132323741912842,0.44,0.45714285714285713,0.64,0.5333333333333333,0.3538
11,999,999,"401,311",115,0.8457648546144121,0.8292682766914368,0.44361966848373413,0.495,0.0,0.0,0.0,0.5163
