fold,test_subject,test_subjects,val_subjects,best_epoch,best_train_acc,best_val_acc,best_val_loss,epoch_accuracy,epoch_precision,epoch_recall,epoch_f1,epoch_roc_auc
1,311,311,401,95,0.6874298540965208,0.639053225517273,0.6340947151184082,0.745,0.7130434782608696,0.82,0.7627906976744186,0.8357999999999999
2,315,315,421,28,0.7234891676168758,0.6666666865348816,0.6169188022613525,0.4623115577889447,0.47530864197530864,0.7777777777777778,0.5900383141762452,0.5023232323232323
3,340,340,999,44,0.6659051970302684,0.5299999713897705,0.6882273554801941,0.49,0.48333333333333334,0.29,0.3625,0.5044
4,342,342,401,20,0.6517357222844344,0.6568047404289246,0.6377425789833069,0.4387755102040816,0.46987951807228917,0.78,0.5864661654135338,0.35010416666666666
5,346,346,311,100,0.7872219053051911,0.8550000190734863,0.42139559984207153,0.4898989898989899,0.47468354430379744,0.8064516129032258,0.5976095617529881,0.5783922171018945
6,368,368,315,1,0.4787052810902896,0.5326633453369141,0.6985532641410828,0.5916230366492147,0.6222222222222222,0.56,0.5894736842105263,0.6326373626373626
7,401,401,311,85,0.8748597081930415,0.8700000047683716,0.37736451625823975,0.5976331360946746,0.8235294117647058,0.17721518987341772,0.2916666666666667,0.7257383966244726
8,421,421,444,98,0.6685681688533942,0.6299999952316284,0.6521739959716797,0.6313131313131313,0.6710526315789473,0.5151515151515151,0.5828571428571429,0.6954392408937864
9,444,444,342,1,0.5076923076923077,0.5255101919174194,0.6939526796340942,0.51,0.5075757575757576,0.67,0.5775862068965517,0.4796
10,463,463,999,1,0.5248429468874929,0.574999988079071,0.6879104375839233,0.585,0.562962962962963,0.76,0.6468085106382979,0.63
11,999,999,421,75,0.8807758128921849,0.7676767706871033,0.5326942205429077,0.52,0.8333333333333334,0.05,0.09433962264150944,0.6181
