model_name,result_dir,n_folds,validation_method,n_splits,use_validation_subject,n_validation_subjects,validation_seed,epochs,batch_size,learning_rate,weight_decay,patience,validation_frequency,early_stopping_metric,label_smoothing,epoch_accuracy_mean,epoch_accuracy_std,epoch_accuracy_min,epoch_accuracy_max,epoch_precision_mean,epoch_precision_std,epoch_precision_min,epoch_precision_max,epoch_recall_mean,epoch_recall_std,epoch_recall_min,epoch_recall_max,epoch_f1_mean,epoch_f1_std,epoch_f1_min,epoch_f1_max,epoch_roc_auc_mean,epoch_roc_auc_std,epoch_roc_auc_min,epoch_roc_auc_max
Raw EEGNet-like CNN,outputs\results\raw_eegnetlike_groupkfold_nvalsubj1_2026-05-24_210926,5,GROUPKFOLD,5,True,1,42,100,32,0.0003,0.0001,30,30,val_loss,0.0,0.5547539474542913,0.04952440254708857,0.4812030075187969,0.6136363636363636,0.545714718673547,0.049985998103634896,0.4833333333333333,0.6205128205128205,0.6703470285667945,0.10083465571426237,0.5829145728643216,0.8140703517587939,0.5979900590480554,0.047315268627881955,0.5284738041002278,0.6558704453441295,0.572015897143904,0.06664460874715113,0.4776633165829145,0.6337755102040816
Features1D CNN,outputs\results\features1d_cnn_groupkfold_nvalsubj1_2026-05-24_213613,5,GROUPKFOLD,5,True,1,42,100,32,0.0003,0.0001,30,30,val_loss,0.0,0.5078207443765497,0.11239640623201018,0.3410714285714286,0.6540404040404041,0.5087421662296356,0.08730426810741221,0.3875,0.6285714285714286,0.6619398142121083,0.2081632336377405,0.4623115577889447,0.9740932642487048,0.5654861607857119,0.10648491487030459,0.4565537555228277,0.6921348314606741,0.5174448148397626,0.20942709003718082,0.1866477888748581,0.7618855048654113
Features2D CNN,outputs\results\features2d_cnn_groupkfold_nvalsubj1_2026-05-24_213642,5,GROUPKFOLD,5,True,1,42,100,32,0.0003,0.0001,30,30,val_loss,0.0,0.5712995418728029,0.10147230406866169,0.4636591478696741,0.7373737373737373,0.5472289741698557,0.07149383006902814,0.4691358024691358,0.6632653061224489,0.7479564176482539,0.16155384995325223,0.5728643216080402,0.975,0.6302759062006978,0.10200524554338537,0.5158371040723982,0.7894736842105263,0.5847981499989303,0.09979791309246626,0.4924874371859297,0.7516744597497789
Hybrid Raw + Features CNN,outputs\results\hybrid_cnn_groupkfold_nvalsubj1_2026-05-24_213743,5,GROUPKFOLD,5,True,1,42,100,32,0.0003,0.0001,30,30,val_loss,0.0,0.5594146885028926,0.14889764968691305,0.3375,0.696969696969697,0.5474844760014251,0.11549170957320615,0.3756756756756756,0.631578947368421,0.6410830851193587,0.22491044552938552,0.4120603015075377,0.96,0.5832130564259165,0.1487954036771688,0.4283513097072419,0.7619047619047619,0.5199506691300239,0.18156614543899258,0.2344800316330565,0.7074939972197649
