fold,test_subject,test_subjects,val_subjects,best_epoch,best_train_acc,best_val_acc,best_val_loss,epoch_accuracy,epoch_precision,epoch_recall,epoch_f1,epoch_roc_auc
1,315_999,"315,999","401,368",48,0.7614942528735632,0.7777777910232544,0.46870383620262146,0.531328320802005,0.529126213592233,0.5477386934673367,0.5382716049382716,0.5307788944723618
2,421_463,"421,463","368,315",25,0.6595744680851063,0.6897435784339905,0.6378645300865173,0.5979899497487438,0.6140350877192983,0.5276381909547738,0.5675675675675675,0.626751849700765
3,346_444,"346,444","463,401",12,0.6083815028901735,0.577235758304596,0.6802175045013428,0.6884422110552764,0.6506550218340611,0.772020725388601,0.7061611374407583,0.7197017566030582
4,311_342,"311,342","999,401",6,0.588023088023088,0.4850948452949524,0.6958927512168884,0.5202020202020202,0.5198412698412699,0.655,0.5796460176991151,0.5491071428571428
5,340_368_401,"340,368,401","311,444",19,0.6481947942905122,0.5899999737739563,0.6729616522789001,0.5071428571428571,0.5043731778425656,0.6200716845878136,0.5562700964630225,0.46790137629306494
