fold,test_subject,test_subjects,val_subjects,best_epoch,best_train_acc,best_val_acc,best_val_loss,epoch_accuracy,epoch_precision,epoch_recall,epoch_f1,epoch_roc_auc,model_name,result_dir
5,346,346,311,31,0.9224187107815174,0.9800000190734864,0.0654335916042327,0.3939393939393939,0.4081632653061224,0.6451612903225806,0.5,0.3001536098310292,Features2D CNN,outputs\results\features2d_cnn_loso_nvalsubj1_2026-05-24_172402
6,368,368,315,1,0.606473594548552,0.5829145908355713,0.697205126285553,0.6596858638743456,0.610062893081761,0.97,0.749034749034749,0.8925274725274726,Features2D CNN,outputs\results\features2d_cnn_loso_nvalsubj1_2026-05-24_172402
7,401,401,311,20,0.9410774410774412,0.975000023841858,0.1048647984862327,0.5502958579881657,0.8,0.050632911392405,0.0952380952380952,0.6827004219409283,Features2D CNN,outputs\results\features2d_cnn_loso_nvalsubj1_2026-05-24_172402
8,421,421,444,38,0.982316029663434,0.8299999833106995,0.3857282996177673,0.696969696969697,0.7671232876712328,0.5656565656565656,0.6511627906976745,0.7686970717273748,Features2D CNN,outputs\results\features2d_cnn_loso_nvalsubj1_2026-05-24_172402
9,444,444,342,1,0.6102564102564103,0.5051020383834839,0.8029236793518066,0.52,0.5102040816326531,1.0,0.6756756756756757,0.8681,Features2D CNN,outputs\results\features2d_cnn_loso_nvalsubj1_2026-05-24_172402
10,463,463,999,1,0.6304968589377499,0.5400000214576721,0.7117214798927307,0.45,0.4712643678160919,0.82,0.5985401459854015,0.3586,Features2D CNN,outputs\results\features2d_cnn_loso_nvalsubj1_2026-05-24_172402
11,999,999,421,1,0.6463205932686823,0.6767676472663879,0.6299719214439392,0.485,0.4878048780487805,0.6,0.5381165919282511,0.4994999999999999,Features2D CNN,outputs\results\features2d_cnn_loso_nvalsubj1_2026-05-24_172402
1,311,311,401,4,0.6621773288439955,0.5917159914970398,0.6534998416900635,0.88,0.8518518518518519,0.92,0.8846153846153846,0.9502,Hybrid Raw + Features CNN,outputs\results\hybrid_cnn_loso_nvalsubj1_2026-05-24_172558
2,315,315,421,1,0.5359179019384265,0.5252525210380554,0.7000553607940674,0.5025125628140703,0.5,0.7777777777777778,0.6086956521739131,0.5970707070707071,Hybrid Raw + Features CNN,outputs\results\hybrid_cnn_loso_nvalsubj1_2026-05-24_172558
3,340,340,999,3,0.6402055968018275,0.550000011920929,0.6911729574203491,0.65,0.65625,0.63,0.6428571428571429,0.6983,Hybrid Raw + Features CNN,outputs\results\hybrid_cnn_loso_nvalsubj1_2026-05-24_172558
4,342,342,401,4,0.6802911534154535,0.5798816680908203,0.6782046556472778,0.4744897959183674,0.4854368932038835,0.5,0.4926108374384236,0.4879166666666666,Hybrid Raw + Features CNN,outputs\results\hybrid_cnn_loso_nvalsubj1_2026-05-24_172558
5,346,346,311,96,0.9486594409583572,0.9850000143051147,0.0460189692676067,0.2222222222222222,0.2925170068027211,0.4623655913978494,0.3583333333333333,0.0754736303123399,Hybrid Raw + Features CNN,outputs\results\hybrid_cnn_loso_nvalsubj1_2026-05-24_172558
6,368,368,315,1,0.514480408858603,0.4070351719856262,0.7859983444213867,0.8586387434554974,0.811965811965812,0.95,0.8755760368663594,0.9372527472527472,Hybrid Raw + Features CNN,outputs\results\hybrid_cnn_loso_nvalsubj1_2026-05-24_172558
7,401,401,311,98,0.9292929292929292,0.9399999976158142,0.1610979884862899,0.5266272189349113,0.0,0.0,0.0,0.6569620253164556,Hybrid Raw + Features CNN,outputs\results\hybrid_cnn_loso_nvalsubj1_2026-05-24_172558
8,421,421,444,30,0.8836280661722761,0.6899999976158142,0.5818764567375183,0.6515151515151515,0.8571428571428571,0.3636363636363636,0.5106382978723404,0.7560453014998471,Hybrid Raw + Features CNN,outputs\results\hybrid_cnn_loso_nvalsubj1_2026-05-24_172558
9,444,444,342,1,0.543019943019943,0.4693877696990967,0.6951331496238708,0.66,0.635593220338983,0.75,0.6880733944954128,0.708,Hybrid Raw + Features CNN,outputs\results\hybrid_cnn_loso_nvalsubj1_2026-05-24_172558
10,463,463,999,1,0.5408338092518561,0.5049999952316284,0.6947985887527466,0.595,0.5605095541401274,0.88,0.6848249027237354,0.5486000000000001,Hybrid Raw + Features CNN,outputs\results\hybrid_cnn_loso_nvalsubj1_2026-05-24_172558
11,999,999,421,5,0.6845407872219053,0.6666666865348816,0.5979357957839966,0.515,0.5168539325842697,0.46,0.4867724867724867,0.5032000000000001,Hybrid Raw + Features CNN,outputs\results\hybrid_cnn_loso_nvalsubj1_2026-05-24_172558
