fold,test_subject,test_subjects,val_subjects,best_epoch,best_train_acc,best_val_acc,best_val_loss,epoch_accuracy,epoch_precision,epoch_recall,epoch_f1,epoch_roc_auc
1,311,311,401,148,0.7390572390572391,0.639053225517273,0.6274830102920532,0.765,0.7476635514018691,0.8,0.7729468599033816,0.8653
2,315,315,421,19,0.6801596351197263,0.6262626051902771,0.6474589705467224,0.46733668341708545,0.4785276073619632,0.7878787878787878,0.5954198473282443,0.6059595959595959
3,340,340,999,58,0.6796116504854369,0.5899999737739563,0.674912691116333,0.545,0.5789473684210527,0.33,0.42038216560509556,0.6047
4,342,342,401,51,0.7855543113101904,0.692307710647583,0.5787501335144043,0.5051020408163265,0.5080213903743316,0.95,0.662020905923345,0.414375
5,346,346,311,296,0.9092983456930975,0.9300000071525574,0.32044753432273865,0.42424242424242425,0.441340782122905,0.8494623655913979,0.5808823529411765,0.29810547875064003
6,368,368,315,22,0.5877342419080068,0.5778894424438477,0.6795504689216614,0.8429319371727748,0.7966101694915254,0.94,0.8623853211009175,0.9400000000000001
7,401,401,311,90,0.8832772166105499,0.9350000023841858,0.3182796835899353,0.6804733727810651,0.8378378378378378,0.3924050632911392,0.5344827586206896,0.7624472573839663
8,421,421,444,342,0.7872219053051911,0.8050000071525574,0.4748198986053467,0.5606060606060606,1.0,0.12121212121212122,0.21621621621621623,0.7878787878787878
9,444,444,342,9,0.5259259259259259,0.5102040767669678,0.7060577273368835,0.51,0.5050505050505051,1.0,0.6711409395973155,0.5848
10,463,463,999,1,0.5157053112507138,0.3799999952316284,0.7064269781112671,0.54,0.5298507462686567,0.71,0.6068376068376068,0.5643
11,999,999,421,24,0.764403879064461,0.7020202279090881,0.576653778553009,0.52,0.5714285714285714,0.16,0.25,0.49749999999999994
