fold,test_subject,test_subjects,val_subjects,best_epoch,best_train_acc,best_val_acc,best_val_loss,epoch_accuracy,epoch_precision,epoch_recall,epoch_f1,epoch_roc_auc
1,311,311,401,147,0.6930415263748597,0.692307710647583,0.632014274597168,0.76,0.9814814814814815,0.53,0.6883116883116883,0.9686
2,315,315,421,1,0.5501710376282782,0.5707070827484131,0.6775333285331726,0.32663316582914576,0.3722627737226277,0.5151515151515151,0.4322033898305085,0.2949494949494949
3,340,340,999,1,0.5071387778412336,0.4749999940395355,0.6937286257743835,0.425,0.44680851063829785,0.63,0.5228215767634855,0.3941
4,342,342,401,306,0.8135498320268757,0.7633135914802551,0.5293592214584351,0.4846938775510204,0.4973821989528796,0.95,0.6529209621993127,0.13822916666666665
5,346,346,311,264,0.9184255561893896,0.9900000095367432,0.200954407453537,0.36363636363636365,0.38926174496644295,0.6236559139784946,0.4793388429752066,0.18607270865335387
6,368,368,315,1,0.488358886996025,0.48241207003593445,0.7044599652290344,0.46596858638743455,0.4722222222222222,0.17,0.25,0.4867032967032967
7,401,401,311,119,0.8114478114478114,0.9750000238418579,0.2725123465061188,0.6804733727810651,0.8378378378378378,0.3924050632911392,0.5344827586206896,0.8255977496483826
8,421,421,444,23,0.7313177410154021,0.6299999952316284,0.6181990504264832,0.5808080808080808,1.0,0.16161616161616163,0.2782608695652174,0.8512396694214875
9,444,444,342,1,0.5236467236467236,0.3622449040412903,0.7141460180282593,0.46,0.36666666666666664,0.11,0.16923076923076924,0.41869999999999996
10,463,463,999,3,0.5271273557966876,0.4950000047683716,0.7068666815757751,0.425,0.32558139534883723,0.14,0.1958041958041958,0.3318
11,999,999,421,2,0.5419281232173417,0.5757575631141663,0.6817097663879395,0.345,0.38686131386861317,0.53,0.4472573839662447,0.2759
