fold,test_subject,test_subjects,val_subjects,best_epoch,best_train_acc,best_val_acc,best_val_loss,epoch_accuracy,epoch_precision,epoch_recall,epoch_f1,epoch_roc_auc
1,315_999,"315,999",368,164,0.948750800768738,0.9109947681427002,0.22096338868141174,0.5413533834586466,0.6052631578947368,0.23115577889447236,0.33454545454545453,0.4984673366834171
2,421_463,"421,463",401,20,0.7386363636363636,0.6331360936164856,0.5964298248291016,0.5678391959798995,0.6194690265486725,0.35175879396984927,0.44871794871794873,0.6361960556551602
3,346_444,"346,444",999,12,0.6194462330972311,0.6200000047683716,0.6758670806884766,0.635678391959799,0.5851063829787234,0.8549222797927462,0.6947368421052632,0.7444458486035637
4,311_342,"311,342",401,11,0.6658259773013872,0.6272189617156982,0.6509336829185486,0.6313131313131313,0.5944055944055944,0.85,0.6995884773662552,0.6786734693877552
5,340_368_401,"340,368,401",311,29,0.785765636232926,0.6850000023841858,0.5931482911109924,0.40535714285714286,0.40816326530612246,0.43010752688172044,0.418848167539267,0.3515350961109198
