fold,test_subject,test_subjects,val_subjects,best_epoch,best_train_acc,best_val_acc,best_val_loss,epoch_accuracy,epoch_precision,epoch_recall,epoch_f1,epoch_roc_auc
1,315_999,"315,999","401,368",13,0.7456896551724138,0.7722222208976746,0.47268998622894287,0.44360902255639095,0.46048109965635736,0.6733668341708543,0.5469387755102041,0.42417085427135676
2,421_463,"421,463","368,315",2,0.6669112252384446,0.656410276889801,0.6196696758270264,0.5,0.5,0.36180904522613067,0.4198250728862974,0.5117800055554151
3,346_444,"346,444","463,401",1,0.6054913294797688,0.49593496322631836,0.7200161218643188,0.5050251256281407,0.4941860465116279,0.8808290155440415,0.633147113594041,0.7221028686970807
4,311_342,"311,342","999,401",1,0.6233766233766234,0.45528456568717957,0.7527716755867004,0.5883838383838383,0.6134969325153374,0.5,0.5509641873278237,0.6494132653061224
5,340_368_401,"340,368,401","311,444",1,0.4979009235936188,0.4724999964237213,0.7046404480934143,0.4785714285714286,0.47840531561461797,0.5161290322580645,0.496551724137931,0.4491766476613222
