fold,test_subject,test_subjects,val_subjects,best_epoch,best_train_acc,best_val_acc,best_val_loss,epoch_accuracy,epoch_precision,epoch_recall,epoch_f1,epoch_roc_auc
1,315_999,"315,999",368,8,0.7463164638052531,0.7486910820007324,0.5600159168243408,0.48370927318295737,0.4889589905362776,0.7788944723618091,0.6007751937984496,0.5306030150753769
2,421_463,"421,463",401,1,0.5214646464646465,0.6272189617156982,0.6680119037628174,0.5829145728643216,0.5690376569037657,0.6834170854271356,0.6210045662100456,0.6071563849397743
3,346_444,"346,444",999,12,0.7559562137797811,0.5950000286102295,0.6592228412628174,0.5703517587939698,0.5486725663716814,0.6424870466321243,0.5918854415274463,0.5893592821938581
4,311_342,"311,342",401,1,0.5491803278688525,0.5207100510597229,0.6979170441627502,0.553030303030303,0.5427509293680297,0.73,0.6226012793176973,0.5770408163265307
5,340_368_401,"340,368,401",311,10,0.7814521926671459,0.6299999952316284,0.6461570858955383,0.4714285714285714,0.4679245283018868,0.4444444444444444,0.45588235294117646,0.4794448908787102
