fold,test_subject,test_subjects,val_subjects,best_epoch,best_train_acc,best_val_acc,best_val_loss,epoch_accuracy,epoch_precision,epoch_recall,epoch_f1,epoch_roc_auc
1,311,311,"421,368",100,0.6606914212548015,0.6246786713600159,0.64618980884552,0.585,0.5586206896551724,0.81,0.6612244897959184,0.6343
2,315,315,"421,340",18,0.5933075933075933,0.5753768682479858,0.7182102799415588,0.457286432160804,0.47398843930635837,0.8282828282828283,0.6029411764705882,0.4526262626262626
3,340,340,"463,401",6,0.6352718078381795,0.577235758304596,0.6756082773208618,0.455,0.46808510638297873,0.66,0.5477178423236515,0.3917
4,342,342,"999,368",96,0.7333759590792839,0.6521739363670349,0.6138231158256531,0.6122448979591837,0.6111111111111112,0.66,0.6346153846153846,0.6291666666666667
5,346,346,"311,444",4,0.6149388280746941,0.5425000190734863,0.69260174036026,0.5505050505050505,0.5133333333333333,0.8279569892473119,0.6337448559670782,0.6078853046594982
6,368,368,"342,315",1,0.5099041533546326,0.4658227860927582,0.7512162327766418,0.49214659685863876,0.5148514851485149,0.52,0.5174129353233831,0.439010989010989
7,401,401,"311,342",72,0.6626733921815889,0.5656565427780151,0.6798201203346252,0.5443786982248521,0.5142857142857142,0.45569620253164556,0.48322147651006714,0.5970464135021099
8,421,421,"444,999",67,0.6439150032195751,0.6025000214576721,0.6554629802703857,0.6313131313131313,0.696969696969697,0.46464646464646464,0.5575757575757576,0.6473829201101928
9,444,444,"342,999",51,0.690032154340836,0.5631313323974609,0.6804319620132446,0.635,0.6046511627906976,0.78,0.6812227074235808,0.6606
10,463,463,"401,444",15,0.5960809102402023,0.5230352282524109,0.6902737617492676,0.56,0.5405405405405406,0.8,0.6451612903225806,0.5989
11,999,999,"401,311",97,0.5935524652338812,0.56639564037323,0.6901019811630249,0.47,0.48125,0.77,0.5923076923076923,0.4409
