fold,test_subject,test_subjects,val_subjects,best_epoch,best_train_acc,best_val_acc,best_val_loss,epoch_accuracy,epoch_precision,epoch_recall,epoch_f1,epoch_roc_auc
1,311,311,"421,368",91,0.6094750320102432,0.673521876335144,0.6392582654953003,0.715,0.8771929824561403,0.5,0.6369426751592356,0.915
2,315,315,"421,340",1,0.5785070785070785,0.5929648280143738,0.7045364379882812,0.3165829145728643,0.37583892617449666,0.5656565656565656,0.45161290322580644,0.23545454545454544
3,340,340,"463,401",18,0.572692793931732,0.5176151990890503,0.6873461604118347,0.715,1.0,0.43,0.6013986013986014,0.8461000000000001
4,342,342,"999,368",99,0.5952685421994884,0.6419437527656555,0.6420364379882812,0.33163265306122447,0.38686131386861317,0.53,0.4472573839662447,0.21770833333333334
5,346,346,"311,444",32,0.7546683837733419,0.7749999761581421,0.5509575605392456,0.35858585858585856,0.40229885057471265,0.7526881720430108,0.5243445692883895,0.10046082949308756
6,368,368,"342,315",1,0.5054313099041533,0.5164557099342346,0.7269060611724854,0.39267015706806285,0.21428571428571427,0.06,0.09375,0.34406593406593405
7,401,401,"311,342",14,0.6254728877679697,0.7095959782600403,0.6636662483215332,0.6923076923076923,0.7454545454545455,0.5189873417721519,0.6119402985074627,0.7881856540084389
8,421,421,"444,999",38,0.7772054088860271,0.6399999856948853,0.6703286170959473,0.6313131313131313,0.9642857142857143,0.2727272727272727,0.4251968503937008,0.8242016120804
9,444,444,"342,999",4,0.5196141479099678,0.43939393758773804,0.7115779519081116,0.64,0.6166666666666667,0.74,0.6727272727272727,0.6282000000000001
10,463,463,"401,444",32,0.7187104930467763,0.6775068044662476,0.5995902419090271,0.435,0.45185185185185184,0.61,0.5191489361702127,0.38480000000000003
11,999,999,"401,311",63,0.7825537294563844,0.7804877758026123,0.5040961503982544,0.5,0.0,0.0,0.0,0.5439
