fold,test_subject,test_subjects,val_subjects,best_epoch,best_train_acc,best_val_acc,best_val_loss,epoch_accuracy,epoch_precision,epoch_recall,epoch_f1,epoch_roc_auc
1,315_999,"315,999",368,10,0.7809096732863549,0.9685863852500916,0.28982892632484436,0.48370927318295737,0.47953216374269003,0.4120603015075377,0.44324324324324327,0.4734924623115578
2,421_463,"421,463",401,6,0.6887626262626263,0.6627218723297119,0.6207810044288635,0.6080402010050251,0.6214689265536724,0.5527638190954773,0.5851063829787234,0.6283174667306382
3,346_444,"346,444",999,3,0.5898261429491307,0.550000011920929,0.6904293298721313,0.6708542713567839,0.6291666666666667,0.7823834196891192,0.6974595842956121,0.7074939972197649
4,311_342,"311,342",401,15,0.8203026481715007,0.6094674468040466,0.6480865478515625,0.696969696969697,0.631578947368421,0.96,0.7619047619047619,0.5559693877551021
5,340_368_401,"340,368,401",311,22,0.9237958303378864,0.7599999904632568,0.6247087717056274,0.3375,0.37567567567567567,0.4982078853046595,0.4283513097072419,0.23448003163305656
