model_name,result_dir,n_folds,validation_method,n_splits,use_validation_subject,n_validation_subjects,validation_seed,epochs,batch_size,learning_rate,weight_decay,patience,validation_frequency,early_stopping_metric,label_smoothing,epoch_accuracy_mean,epoch_accuracy_std,epoch_accuracy_min,epoch_accuracy_max,epoch_precision_mean,epoch_precision_std,epoch_precision_min,epoch_precision_max,epoch_recall_mean,epoch_recall_std,epoch_recall_min,epoch_recall_max,epoch_f1_mean,epoch_f1_std,epoch_f1_min,epoch_f1_max,epoch_roc_auc_mean,epoch_roc_auc_std,epoch_roc_auc_min,epoch_roc_auc_max
Raw EEGNet-like CNN,outputs\results\raw_eegnetlike_loso_nvalsubj2_2026-07-27_193004,11,LOSO,5,True,2,42,100,32,0.0003,0.0001,30,30,val_loss,0.0,0.5448068006383328,0.06792589061348808,0.455,0.635,0.5434261163203744,0.07005681549540127,0.4680851063829787,0.696969696969697,0.6887802258825683,0.14680612744250043,0.4556962025316455,0.8282828282828283,0.5961041462396075,0.0629396564049802,0.4832214765100671,0.6812227074235808,0.5545016869614289,0.1007888466097298,0.3917,0.6606
Features1D CNN,outputs\results\features1d_cnn_loso_nvalsubj2_2026-07-27_205523,11,LOSO,5,True,2,42,100,32,0.0003,0.0001,30,30,val_loss,0.0,0.5207356733553484,0.1610210491361155,0.3165829145728643,0.715,0.5486124150562232,0.3205327948914371,0.0,1.0,0.4527326683817274,0.24793130128976854,0.0,0.7526881720430108,0.4531199537124479,0.21770213500597055,0.0,0.6727272727272727,0.5298251734941581,0.2890737397302747,0.1004608294930875,0.915
Features2D CNN,outputs\results\features2d_cnn_loso_nvalsubj2_2026-07-27_205653,11,LOSO,5,True,2,42,100,32,0.0003,0.0001,30,30,val_loss,0.0,0.5613851739552029,0.21272120002915712,0.2676767676767677,0.9528795811518324,0.5424669436150241,0.31959751400206454,0.0,0.9789473684210528,0.4472487336710211,0.37913468517811644,0.0,0.98,0.4381509966928499,0.3284901314870974,0.0,0.953846153846154,0.5493278441614481,0.3212595302898559,0.1156249999999999,0.993956043956044
Hybrid Raw + Features CNN,outputs\results\hybrid_cnn_loso_nvalsubj2_2026-07-27_205927,11,LOSO,5,True,2,42,100,32,0.0003,0.0001,30,30,val_loss,0.0,0.5416934223951627,0.07518034145599746,0.4285714285714285,0.685,0.6482249524784852,0.19340404368244238,0.4597701149425287,1.0,0.5108559180280476,0.3075609044432327,0.03,0.93,0.47794411141640175,0.18024940480767523,0.058252427184466,0.6926829268292682,0.6127891063158649,0.15270894866640197,0.3526041666666666,0.8868131868131868
