model_name,result_dir,n_folds,validation_method,n_splits,use_validation_subject,n_validation_subjects,validation_seed,epochs,batch_size,learning_rate,weight_decay,patience,validation_frequency,early_stopping_metric,label_smoothing,epoch_accuracy_mean,epoch_accuracy_std,epoch_accuracy_min,epoch_accuracy_max,epoch_precision_mean,epoch_precision_std,epoch_precision_min,epoch_precision_max,epoch_recall_mean,epoch_recall_std,epoch_recall_min,epoch_recall_max,epoch_f1_mean,epoch_f1_std,epoch_f1_min,epoch_f1_max,epoch_roc_auc_mean,epoch_roc_auc_std,epoch_roc_auc_min,epoch_roc_auc_max
Raw EEGNet-like CNN,C:\Users\janre\PycharmProjects\eeg-caffeine-input-representation-cnn\outputs\experiments\2026-08-01_185139_GROUPKFOLD_nvalsubj2\results\raw_eegnetlike,5,GROUPKFOLD,5,True,2,42,500,32,0.0003,0.0001,75,30,val_loss,0.0,0.5458537485025187,0.04782629102924746,0.4912280701754385,0.5879396984924623,0.537727810243989,0.04023101375996753,0.4937106918238994,0.5764192139737991,0.6688610863107111,0.08140085744518753,0.5806451612903226,0.7889447236180904,0.593581894145035,0.03716391308088935,0.5346534653465347,0.6278026905829597,0.5716511225514875,0.06581215927627063,0.4754014719575505,0.6465240776748062
Features1D CNN,C:\Users\janre\PycharmProjects\eeg-caffeine-input-representation-cnn\outputs\experiments\2026-08-01_185139_GROUPKFOLD_nvalsubj2\results\features1d_cnn,5,GROUPKFOLD,5,True,2,42,500,32,0.0003,0.0001,75,30,val_loss,0.0,0.5390685847403647,0.052466310881322926,0.4678571428571428,0.6130653266331658,0.5469097228809454,0.04655381505766101,0.4776470588235294,0.5892857142857143,0.6119369809472268,0.3148979125705924,0.1658291457286432,0.92,0.531679640136243,0.17169323978990586,0.2588235294117647,0.6764705882352942,0.5617386620853118,0.13182277210327567,0.3858977793084095,0.7334512826993556
Features2D CNN,C:\Users\janre\PycharmProjects\eeg-caffeine-input-representation-cnn\outputs\experiments\2026-08-01_185139_GROUPKFOLD_nvalsubj2\results\features2d_cnn,5,GROUPKFOLD,5,True,2,42,500,32,0.0003,0.0001,75,30,val_loss,0.0,0.5123434089640119,0.04835261339674604,0.4698492462311557,0.5858585858585859,0.520699470921324,0.09087013999467636,0.4411764705882353,0.6764705882352942,0.5261886490599224,0.2571484659069874,0.2261306532663316,0.8911917098445595,0.4935274927495545,0.12907264098375842,0.2990033222591362,0.6502835538752363,0.5726465456394265,0.1284651217476007,0.44838582124772,0.7433337545810692
Hybrid Raw + Features CNN,C:\Users\janre\PycharmProjects\eeg-caffeine-input-representation-cnn\outputs\experiments\2026-08-01_185139_GROUPKFOLD_nvalsubj2\results\hybrid_cnn,5,GROUPKFOLD,5,True,2,42,500,32,0.0003,0.0001,75,30,val_loss,0.0,0.5141358678789253,0.07247986533657914,0.4160714285714286,0.6030150753768844,0.5068666369015623,0.07254352678044833,0.3983050847457627,0.5862068965517241,0.5487418066057813,0.21930626473102968,0.3369175627240143,0.911917098445596,0.5157001754721947,0.1157749843953208,0.3650485436893204,0.6901960784313725,0.5545267131642796,0.12010298398059091,0.4029005472008572,0.7241248578288891
