fold,test_subject,test_subjects,val_subjects,best_epoch,best_train_acc,best_val_acc,best_val_loss,epoch_accuracy,epoch_precision,epoch_recall,epoch_f1,epoch_roc_auc
1,315_999,"315,999","401,368",37,0.7248563218390804,0.8472222089767456,0.48799988627433777,0.48872180451127817,0.4853801169590643,0.41708542713567837,0.4486486486486487,0.43866834170854274
2,421_463,"421,463","368,315",28,0.652971386647102,0.7205128073692322,0.6185398101806641,0.5577889447236181,0.5851851851851851,0.3969849246231156,0.47305389221556887,0.6201611070427514
3,346_444,"346,444","463,401",20,0.6885838150289018,0.56639564037323,0.6784908771514893,0.5025125628140703,0.4927536231884058,0.8808290155440415,0.6319702602230484,0.687451029950714
4,311_342,"311,342","999,401",19,0.6464646464646465,0.5934959053993225,0.6867563724517822,0.5934343434343434,0.5851528384279476,0.67,0.6247086247086248,0.5674234693877551
5,340_368_401,"340,368,401","311,444",1,0.5096557514693535,0.5625,0.6830784678459167,0.5589285714285714,0.5496894409937888,0.6344086021505376,0.589018302828619,0.5517544866643707
