fold,test_subject,test_subjects,val_subjects,best_epoch,best_train_acc,best_val_acc,best_val_loss,epoch_accuracy,epoch_precision,epoch_recall,epoch_f1,epoch_roc_auc
1,311,311,401,1,0.5375982042648709,0.5739644765853882,0.6593391299247742,0.92,0.9468085106382979,0.89,0.9175257731958762,0.9772
2,315,315,421,1,0.6009122006841505,0.5050504803657532,0.7748466730117798,0.4120603015075377,0.375,0.2727272727272727,0.3157894736842105,0.32727272727272727
3,340,340,999,3,0.6641918903483723,0.4350000023841858,0.7410405278205872,0.765,0.9344262295081968,0.57,0.7080745341614907,0.8859999999999999
4,342,342,401,15,0.7172452407614781,0.5680473446846008,0.6587216258049011,0.4744897959183674,0.49206349206349204,0.93,0.643598615916955,0.2109375
5,346,346,311,64,0.96406160867085,0.9700000286102295,0.2003222107887268,0.3333333333333333,0.37579617834394907,0.6344086021505376,0.472,0.21167434715821812
6,368,368,315,1,0.5195911413969335,0.5276381969451904,0.7254655361175537,0.8743455497382199,0.8166666666666667,0.98,0.8909090909090909,0.9850549450549451
7,401,401,311,83,0.7048260381593715,0.8999999761581421,0.36940813064575195,0.5384615384615384,1.0,0.012658227848101266,0.025,0.7053445850914205
8,421,421,444,11,0.753565316600114,0.6850000023841858,0.5891417264938354,0.5252525252525253,1.0,0.050505050505050504,0.09615384615384616,0.7048260381593716
9,444,444,342,1,0.4849002849002849,0.48469388484954834,0.7076790928840637,0.485,0.48760330578512395,0.59,0.5339366515837104,0.43360000000000004
10,463,463,999,1,0.6470588235294118,0.5049999952316284,0.7917501330375671,0.44,0.461038961038961,0.71,0.5590551181102362,0.39440000000000003
11,999,999,421,1,0.5265259555048488,0.5303030014038086,0.680239737033844,0.43,0.4606741573033708,0.82,0.5899280575539568,0.34119999999999995
