model_name,result_dir,n_folds,validation_method,n_splits,use_validation_subject,n_validation_subjects,validation_seed,epochs,batch_size,learning_rate,weight_decay,patience,validation_frequency,early_stopping_metric,label_smoothing,epoch_accuracy_mean,epoch_accuracy_std,epoch_accuracy_min,epoch_accuracy_max,epoch_precision_mean,epoch_precision_std,epoch_precision_min,epoch_precision_max,epoch_recall_mean,epoch_recall_std,epoch_recall_min,epoch_recall_max,epoch_f1_mean,epoch_f1_std,epoch_f1_min,epoch_f1_max,epoch_roc_auc_mean,epoch_roc_auc_std,epoch_roc_auc_min,epoch_roc_auc_max
Raw EEGNet-like CNN,C:\Users\janre\PycharmProjects\eeg-caffeine-input-representation-cnn\outputs\experiments\2026-08-01_104659_LOSO_nvalsubj2\results\raw_eegnetlike,11,LOSO,5,True,2,42,500,32,0.0003,0.0001,75,30,val_loss,0.0,0.5405055894491618,0.038345299296631614,0.485,0.6282722513089005,0.5529647780249191,0.07201857449529242,0.4857142857142857,0.7142857142857143,0.634225986056789,0.2519796858982005,0.101010101010101,0.92,0.5512438643521724,0.1420683539660449,0.1769911504424778,0.6589147286821705,0.5893640263940654,0.07700759349339834,0.4323,0.6698
Features1D CNN,C:\Users\janre\PycharmProjects\eeg-caffeine-input-representation-cnn\outputs\experiments\2026-08-01_104659_LOSO_nvalsubj2\results\features1d_cnn,11,LOSO,5,True,2,42,500,32,0.0003,0.0001,75,30,val_loss,0.0,0.5207649828053527,0.1151691680339263,0.3517587939698492,0.715,0.5570164089365239,0.2736149838982452,0.0,1.0,0.5716393415576756,0.32502278117036665,0.0,1.0,0.4981267932625073,0.19076469346095346,0.0,0.6736111111111112,0.49886024428422165,0.27656172017908,0.156043956043956,0.9219
Features2D CNN,C:\Users\janre\PycharmProjects\eeg-caffeine-input-representation-cnn\outputs\experiments\2026-08-01_104659_LOSO_nvalsubj2\results\features2d_cnn,11,LOSO,5,True,2,42,500,32,0.0003,0.0001,75,30,val_loss,0.0,0.5195869118810698,0.2373226416261853,0.2,0.905,0.5574200772093982,0.27616854552098347,0.1341463414634146,1.0,0.4877021861212069,0.35132482262149073,0.0126582278481012,0.98,0.4536778089168125,0.30927442630930924,0.0246913580246913,0.9035532994923858,0.5268344857478849,0.3471725462485724,0.1432291666666666,0.9811
Hybrid Raw + Features CNN,C:\Users\janre\PycharmProjects\eeg-caffeine-input-representation-cnn\outputs\experiments\2026-08-01_104659_LOSO_nvalsubj2\results\hybrid_cnn,11,LOSO,5,True,2,42,500,32,0.0003,0.0001,75,30,val_loss,0.0,0.5507053250388577,0.09407880039440596,0.4141414141414141,0.696969696969697,0.6218714797509283,0.14330892172323817,0.4303030303030303,0.8679245283018868,0.5595504058739517,0.3132881547724425,0.03,1.0,0.5013613488370121,0.22411642633519135,0.0576923076923076,0.6926829268292682,0.6045246712516458,0.16095439898793654,0.3266769073220686,0.7877767574737272
