fold,test_subject,test_subjects,val_subjects,best_epoch,best_train_acc,best_val_acc,best_val_loss,epoch_accuracy,epoch_precision,epoch_recall,epoch_f1,epoch_roc_auc,model_name,result_dir
1,315_999,"315,999",368,8,0.7463164638052531,0.7486910820007324,0.5600159168243408,0.4837092731829573,0.4889589905362776,0.7788944723618091,0.6007751937984496,0.5306030150753769,Raw EEGNet-like CNN,C:\Users\janre\PycharmProjects\eeg-caffeine-input-representation-cnn\outputs\experiments\2026-07-30_204645_GROUPKFOLD_nvalsubj1\results\raw_eegnetlike
2,421_463,"421,463",401,1,0.5214646464646465,0.6272189617156982,0.6680119037628174,0.5829145728643216,0.5690376569037657,0.6834170854271356,0.6210045662100456,0.6071563849397743,Raw EEGNet-like CNN,C:\Users\janre\PycharmProjects\eeg-caffeine-input-representation-cnn\outputs\experiments\2026-07-30_204645_GROUPKFOLD_nvalsubj1\results\raw_eegnetlike
3,346_444,"346,444",999,12,0.7559562137797811,0.5950000286102295,0.6592228412628174,0.5703517587939698,0.5486725663716814,0.6424870466321243,0.5918854415274463,0.5893592821938581,Raw EEGNet-like CNN,C:\Users\janre\PycharmProjects\eeg-caffeine-input-representation-cnn\outputs\experiments\2026-07-30_204645_GROUPKFOLD_nvalsubj1\results\raw_eegnetlike
4,311_342,"311,342",401,1,0.5491803278688525,0.5207100510597229,0.6979170441627502,0.553030303030303,0.5427509293680297,0.73,0.6226012793176973,0.5770408163265307,Raw EEGNet-like CNN,C:\Users\janre\PycharmProjects\eeg-caffeine-input-representation-cnn\outputs\experiments\2026-07-30_204645_GROUPKFOLD_nvalsubj1\results\raw_eegnetlike
5,340_368_401,"340,368,401",311,10,0.7814521926671459,0.6299999952316284,0.6461570858955383,0.4714285714285714,0.4679245283018868,0.4444444444444444,0.4558823529411764,0.4794448908787102,Raw EEGNet-like CNN,C:\Users\janre\PycharmProjects\eeg-caffeine-input-representation-cnn\outputs\experiments\2026-07-30_204645_GROUPKFOLD_nvalsubj1\results\raw_eegnetlike
1,315_999,"315,999",368,17,0.6931454196028187,0.8743455410003662,0.4310866892337799,0.4761904761904761,0.4747474747474747,0.4723618090452261,0.473551637279597,0.4248743718592964,Features1D CNN,C:\Users\janre\PycharmProjects\eeg-caffeine-input-representation-cnn\outputs\experiments\2026-07-30_204645_GROUPKFOLD_nvalsubj1\results\features1d_cnn
2,421_463,"421,463",401,12,0.6811868686868687,0.6331360936164856,0.6260709762573242,0.4773869346733668,0.4671532846715328,0.321608040201005,0.3809523809523809,0.5801621171182545,Features1D CNN,C:\Users\janre\PycharmProjects\eeg-caffeine-input-representation-cnn\outputs\experiments\2026-07-30_204645_GROUPKFOLD_nvalsubj1\results\features1d_cnn
3,346_444,"346,444",999,1,0.5009658725048294,0.4699999988079071,0.701270341873169,0.550251256281407,0.519774011299435,0.9533678756476685,0.6727605118829981,0.7323644635410085,Features1D CNN,C:\Users\janre\PycharmProjects\eeg-caffeine-input-representation-cnn\outputs\experiments\2026-07-30_204645_GROUPKFOLD_nvalsubj1\results\features1d_cnn
4,311_342,"311,342",401,50,0.8190416141235813,0.7337278127670288,0.5674837231636047,0.7070707070707071,0.6510791366906474,0.905,0.7573221757322176,0.5549744897959183,Features1D CNN,C:\Users\janre\PycharmProjects\eeg-caffeine-input-representation-cnn\outputs\experiments\2026-07-30_204645_GROUPKFOLD_nvalsubj1\results\features1d_cnn
5,340_368_401,"340,368,401",311,52,0.8447160316319194,0.7549999952316284,0.5806306004524231,0.3571428571428571,0.348314606741573,0.3333333333333333,0.3406593406593406,0.2818148190665697,Features1D CNN,C:\Users\janre\PycharmProjects\eeg-caffeine-input-representation-cnn\outputs\experiments\2026-07-30_204645_GROUPKFOLD_nvalsubj1\results\features1d_cnn
1,315_999,"315,999",368,34,0.8238308776425368,0.963350772857666,0.1159915030002594,0.4335839598997493,0.4474708171206226,0.5778894472361809,0.5043859649122807,0.4328391959798995,Features2D CNN,C:\Users\janre\PycharmProjects\eeg-caffeine-input-representation-cnn\outputs\experiments\2026-07-30_204645_GROUPKFOLD_nvalsubj1\results\features2d_cnn
2,421_463,"421,463",401,1,0.6136363636363636,0.5325443744659424,0.724472165107727,0.4648241206030151,0.4469696969696969,0.2964824120603015,0.3564954682779456,0.5540264134744072,Features2D CNN,C:\Users\janre\PycharmProjects\eeg-caffeine-input-representation-cnn\outputs\experiments\2026-07-30_204645_GROUPKFOLD_nvalsubj1\results\features2d_cnn
3,346_444,"346,444",999,1,0.5820991629104958,0.395000010728836,0.7489171028137207,0.5326633165829145,0.5104477611940299,0.8860103626943006,0.6477272727272727,0.741994186781246,Features2D CNN,C:\Users\janre\PycharmProjects\eeg-caffeine-input-representation-cnn\outputs\experiments\2026-07-30_204645_GROUPKFOLD_nvalsubj1\results\features2d_cnn
4,311_342,"311,342",401,45,0.8865069356872636,0.6804733872413635,0.6044049263000488,0.7171717171717171,0.6560283687943262,0.925,0.7676348547717843,0.5268112244897959,Features2D CNN,C:\Users\janre\PycharmProjects\eeg-caffeine-input-representation-cnn\outputs\experiments\2026-07-30_204645_GROUPKFOLD_nvalsubj1\results\features2d_cnn
5,340_368_401,"340,368,401",311,90,0.9122933141624732,0.8500000238418579,0.3804291486740112,0.5285714285714286,0.5186104218362283,0.7491039426523297,0.6129032258064516,0.5762701054860393,Features2D CNN,C:\Users\janre\PycharmProjects\eeg-caffeine-input-representation-cnn\outputs\experiments\2026-07-30_204645_GROUPKFOLD_nvalsubj1\results\features2d_cnn
1,315_999,"315,999",368,40,0.8545803971812941,0.8586387634277344,0.325790673494339,0.518796992481203,0.5231788079470199,0.3969849246231156,0.4514285714285714,0.4730150753768845,Hybrid Raw + Features CNN,C:\Users\janre\PycharmProjects\eeg-caffeine-input-representation-cnn\outputs\experiments\2026-07-30_204645_GROUPKFOLD_nvalsubj1\results\hybrid_cnn
2,421_463,"421,463",401,13,0.7051767676767676,0.6094674468040466,0.6298064589500427,0.5201005025125628,0.5253164556962026,0.4170854271356783,0.4649859943977591,0.5848589682078735,Hybrid Raw + Features CNN,C:\Users\janre\PycharmProjects\eeg-caffeine-input-representation-cnn\outputs\experiments\2026-07-30_204645_GROUPKFOLD_nvalsubj1\results\hybrid_cnn
3,346_444,"346,444",999,2,0.5370251126851255,0.5,0.695808470249176,0.6130653266331658,0.6242038216560509,0.5077720207253886,0.56,0.6523442436496903,Hybrid Raw + Features CNN,C:\Users\janre\PycharmProjects\eeg-caffeine-input-representation-cnn\outputs\experiments\2026-07-30_204645_GROUPKFOLD_nvalsubj1\results\hybrid_cnn
4,311_342,"311,342",401,27,0.805170239596469,0.6863905191421509,0.6105701327323914,0.7095959595959596,0.6470588235294118,0.935,0.7648261758691206,0.6087244897959183,Hybrid Raw + Features CNN,C:\Users\janre\PycharmProjects\eeg-caffeine-input-representation-cnn\outputs\experiments\2026-07-30_204645_GROUPKFOLD_nvalsubj1\results\hybrid_cnn
5,340_368_401,"340,368,401",311,14,0.621135873472322,0.6449999809265137,0.6556354761123657,0.4535714285714285,0.4519572953736654,0.4551971326164875,0.4535714285714285,0.4377224199288256,Hybrid Raw + Features CNN,C:\Users\janre\PycharmProjects\eeg-caffeine-input-representation-cnn\outputs\experiments\2026-07-30_204645_GROUPKFOLD_nvalsubj1\results\hybrid_cnn
