model_name,result_dir,n_folds,validation_method,n_splits,use_validation_subject,n_validation_subjects,validation_seed,epochs,batch_size,learning_rate,weight_decay,patience,validation_frequency,early_stopping_metric,label_smoothing,epoch_accuracy_mean,epoch_accuracy_std,epoch_accuracy_min,epoch_accuracy_max,epoch_precision_mean,epoch_precision_std,epoch_precision_min,epoch_precision_max,epoch_recall_mean,epoch_recall_std,epoch_recall_min,epoch_recall_max,epoch_f1_mean,epoch_f1_std,epoch_f1_min,epoch_f1_max,epoch_roc_auc_mean,epoch_roc_auc_std,epoch_roc_auc_min,epoch_roc_auc_max
Raw EEGNet-like CNN,C:\Users\janre\PycharmProjects\eeg-caffeine-input-representation-cnn\outputs\experiments\2026-07-30_204645_GROUPKFOLD_nvalsubj1\results\raw_eegnetlike,5,GROUPKFOLD,5,True,1,42,100,32,0.0003,0.0001,30,30,val_loss,0.0,0.5322868958600246,0.05124915971902112,0.4714285714285714,0.5829145728643216,0.5234689342963282,0.042894184161158935,0.4679245283018868,0.5690376569037657,0.6558486097731027,0.128713816576295,0.4444444444444444,0.7788944723618091,0.5784297667589631,0.0697530966991903,0.4558823529411764,0.6226012793176973,0.5567208778828501,0.05166146201838186,0.4794448908787102,0.6071563849397743
Features1D CNN,C:\Users\janre\PycharmProjects\eeg-caffeine-input-representation-cnn\outputs\experiments\2026-07-30_204645_GROUPKFOLD_nvalsubj1\results\features1d_cnn,5,GROUPKFOLD,5,True,1,42,100,32,0.0003,0.0001,30,30,val_loss,0.0,0.5136084462717628,0.1284172154033231,0.3571428571428571,0.7070707070707071,0.4922137028301325,0.10913047261814242,0.348314606741573,0.6510791366906474,0.5971342116454467,0.30933699019326977,0.321608040201005,0.9533678756476685,0.5250492093013068,0.18247251804528508,0.3406593406593406,0.7573221757322176,0.5148380522762095,0.16999205692592986,0.2818148190665697,0.7323644635410085
Features2D CNN,C:\Users\janre\PycharmProjects\eeg-caffeine-input-representation-cnn\outputs\experiments\2026-07-30_204645_GROUPKFOLD_nvalsubj1\results\features2d_cnn,5,GROUPKFOLD,5,True,1,42,100,32,0.0003,0.0001,30,30,val_loss,0.0,0.5353629085657649,0.11004831880010289,0.4335839598997493,0.7171717171717171,0.5159054131829808,0.08530382851074488,0.4469696969696969,0.6560283687943262,0.6868972329286225,0.2571551431344474,0.2964824120603015,0.925,0.577829357299147,0.15534207737976302,0.3564954682779456,0.7676348547717843,0.5663882252422775,0.11234945691996846,0.4328391959798995,0.741994186781246
Hybrid Raw + Features CNN,C:\Users\janre\PycharmProjects\eeg-caffeine-input-representation-cnn\outputs\experiments\2026-07-30_204645_GROUPKFOLD_nvalsubj1\results\hybrid_cnn,5,GROUPKFOLD,5,True,1,42,100,32,0.0003,0.0001,30,30,val_loss,0.0,0.563026041958864,0.09970681259711785,0.4535714285714285,0.7095959595959596,0.55434304084047,0.08027038368469659,0.4519572953736654,0.6470588235294118,0.5424079010201341,0.2234879655794978,0.3969849246231156,0.935,0.5389624340533758,0.1340553277525041,0.4514285714285714,0.7648261758691206,0.5513330393918385,0.09173617908205632,0.4377224199288256,0.6523442436496903
