fold,test_subject,test_subjects,val_subjects,best_epoch,best_train_acc,best_val_acc,best_val_loss,epoch_accuracy,epoch_precision,epoch_recall,epoch_f1,epoch_roc_auc
1,311,311,"421,368",22,0.70550576184379,0.7326478362083435,0.5528692603111267,0.905,0.9175257731958762,0.89,0.9035532994923858,0.9811
2,315,315,"421,340",1,0.6093951093951094,0.6130653023719788,0.6972362399101257,0.40703517587939697,0.3442622950819672,0.21212121212121213,0.2625,0.3203030303030303
3,340,340,"463,401",1,0.5480404551201011,0.5230352282524109,0.6814041137695312,0.72,0.9230769230769231,0.48,0.631578947368421,0.8395
4,342,342,"999,368",84,0.7947570332480819,0.6854220032691956,0.5854241847991943,0.5,0.5051546391752577,0.98,0.6666666666666666,0.11562499999999999
5,346,346,"311,444",95,0.9735994848679974,0.8725000023841858,0.3606376647949219,0.2676767676767677,0.23469387755102042,0.24731182795698925,0.24083769633507854,0.19447004608294932
6,368,368,"342,315",1,0.5392971246006389,0.4835442900657654,0.7098850011825562,0.9528795811518325,0.9789473684210527,0.93,0.9538461538461539,0.993956043956044
7,401,401,"311,342",8,0.6160151324085751,0.618686854839325,0.6566296815872192,0.5325443786982249,0.0,0.0,0.0,0.8046413502109704
8,421,421,"444,999",18,0.8126207340631036,0.6775000095367432,0.629935622215271,0.51010101010101,0.75,0.030303030303030304,0.05825242718446602,0.6940108152229365
9,444,444,"342,999",1,0.48038585209003215,0.5075757503509521,0.7005177736282349,0.455,0.4727272727272727,0.78,0.5886792452830188,0.3663
10,463,463,"401,444",2,0.7300884955752213,0.6395664215087891,0.6568202972412109,0.4,0.2826086956521739,0.13,0.1780821917808219,0.29320000000000007
11,999,999,"401,311",38,0.7079646017699115,0.696476936340332,0.6135004162788391,0.525,0.5581395348837209,0.24,0.3356643356643357,0.4395
