stage,command,status,return_code,start_datetime,end_datetime,duration_seconds,duration_minutes
Raw EEGNet-like CNN,C:\Users\janre\PycharmProjects\eeg-caffeine-input-representation-cnn\.venv\Scripts\python.exe src/train_eval/run_cnn_eegnetlike.py,SUCCESS,0,2026-08-01 07:39:37,2026-08-01 08:44:56,3918.8270660999697,65.31378443499949
Features1D CNN,C:\Users\janre\PycharmProjects\eeg-caffeine-input-representation-cnn\.venv\Scripts\python.exe src/train_eval/run_cnn_features1d.py,SUCCESS,0,2026-08-01 08:44:56,2026-08-01 08:45:54,58.24725699983537,0.9707876166639229
Features2D CNN,C:\Users\janre\PycharmProjects\eeg-caffeine-input-representation-cnn\.venv\Scripts\python.exe src/train_eval/run_cnn_features2d.py,SUCCESS,0,2026-08-01 08:45:54,2026-08-01 08:47:42,107.91828789981082,1.7986381316635136
Hybrid Raw + Features CNN,C:\Users\janre\PycharmProjects\eeg-caffeine-input-representation-cnn\.venv\Scripts\python.exe src/train_eval/run_cnn_hybrid.py,SUCCESS,0,2026-08-01 08:47:42,2026-08-01 10:13:22,5139.974873299943,85.66624788833239
Model comparison analysis,C:\Users\janre\PycharmProjects\eeg-caffeine-input-representation-cnn\.venv\Scripts\python.exe src/train_eval/analyze_model_results.py,SUCCESS,0,2026-08-01 10:13:22,2026-08-01 10:13:24,2.014703100081533,0.03357838500135889
Statistical tests,C:\Users\janre\PycharmProjects\eeg-caffeine-input-representation-cnn\.venv\Scripts\python.exe src/train_eval/run_statistical_tests.py,SUCCESS,0,2026-08-01 10:13:24,2026-08-01 10:13:28,3.4954272001050413,0.058257120001750685
