fold,test_subject,test_subjects,val_subjects,best_epoch,best_train_acc,best_val_acc,best_val_loss,epoch_accuracy,epoch_precision,epoch_recall,epoch_f1,epoch_roc_auc
1,311,311,"421,368",91,0.6370038412291933,0.6760925650596619,0.6213083267211914,0.685,0.6761904761904762,0.71,0.6926829268292682,0.7571
2,315,315,"421,340",10,0.6093951093951094,0.6055276393890381,0.6630988121032715,0.4371859296482412,0.4619883040935672,0.797979797979798,0.5851851851851851,0.37383838383838386
3,340,340,"463,401",62,0.7174462705436156,0.6043360233306885,0.6616364121437073,0.565,0.6101694915254238,0.36,0.4528301886792453,0.6282
4,342,342,"999,368",37,0.7103580562659847,0.6803069114685059,0.6054302453994751,0.5255102040816326,0.5267175572519084,0.69,0.5974025974025974,0.4903125
5,346,346,"311,444",115,0.8145524790727624,0.7975000143051147,0.5091857314109802,0.41414141414141414,0.4303030303030303,0.7634408602150538,0.5503875968992248,0.32667690732206867
6,368,368,"342,315",2,0.5092651757188499,0.4962025284767151,0.6955336332321167,0.49214659685863876,0.8,0.04,0.0761904761904762,0.7035164835164835
7,401,401,"311,342",10,0.6418663303909206,0.6590909361839294,0.6682615876197815,0.6568047337278107,0.6721311475409836,0.5189873417721519,0.5857142857142857,0.7022503516174402
8,421,421,"444,999",302,0.7842884739214424,0.6449999809265137,0.6364702582359314,0.696969696969697,0.8679245283018868,0.46464646464646464,0.6052631578947368,0.7877767574737272
9,444,444,"342,999",3,0.5279742765273312,0.47727271914482117,0.7086406946182251,0.535,0.5181347150259067,1.0,0.6825938566552902,0.7572
10,463,463,"401,444",8,0.7623261694058154,0.6585366129875183,0.6053073406219482,0.54,0.527027027027027,0.78,0.6290322580645161,0.48460000000000003
11,999,999,"401,311",114,0.8900126422250316,0.8184281587600708,0.42234963178634644,0.51,0.75,0.03,0.057692307692307696,0.6383000000000001
