fold,test_subject,test_subjects,val_subjects,best_epoch,best_train_acc,best_val_acc,best_val_loss,epoch_accuracy,epoch_precision,epoch_recall,epoch_f1,epoch_roc_auc
1,311,311,"421,368",105,0.6248399487836107,0.6658097505569458,0.6384947299957275,0.715,0.8771929824561403,0.5,0.6369426751592356,0.9218999999999999
2,315,315,"421,340",1,0.5418275418275418,0.5351758599281311,0.7077658772468567,0.4020100502512563,0.38636363636363635,0.3434343434343434,0.36363636363636365,0.3561616161616161
3,340,340,"463,401",27,0.5973451327433629,0.6151761412620544,0.670940637588501,0.56,0.8333333333333334,0.15,0.2542372881355932,0.7557
4,342,342,"999,368",119,0.6560102301790282,0.7570332288742065,0.6034615635871887,0.46938775510204084,0.489010989010989,0.89,0.6312056737588653,0.20572916666666666
5,346,346,"311,444",37,0.7733419188667096,0.8025000095367432,0.4833070635795593,0.3939393939393939,0.42011834319526625,0.7634408602150538,0.5419847328244275,0.2445468509984639
6,368,368,"342,315",1,0.5156549520766773,0.4556961953639984,0.7174618244171143,0.8010471204188482,0.7384615384615385,0.96,0.8347826086956521,0.9441758241758242
7,401,401,"311,342",11,0.6027742749054225,0.6792929172515869,0.6684993505477905,0.727810650887574,0.8666666666666667,0.4936708860759494,0.6290322580645161,0.8172995780590717
8,421,421,"444,999",33,0.7340631036703155,0.625,0.6504824161529541,0.5606060606060606,1.0,0.12121212121212122,0.21621621621621623,0.8326701357004388
9,444,444,"342,999",1,0.5202572347266881,0.4595959484577179,0.7200523614883423,0.505,0.5058823529411764,0.43,0.4648648648648649,0.5061
10,463,463,"401,444",48,0.7376738305941846,0.6585366129875183,0.6026905179023743,0.405,0.24324324324324326,0.09,0.13138686131386862,0.32339999999999997
11,999,999,"401,311",137,0.8584070796460177,0.8102980852127075,0.4694536030292511,0.5,0.0,0.0,0.0,0.5427
