model_name,result_dir,n_folds,validation_method,n_splits,use_validation_subject,n_validation_subjects,validation_seed,epochs,batch_size,learning_rate,weight_decay,patience,validation_frequency,early_stopping_metric,label_smoothing,epoch_accuracy_mean,epoch_accuracy_std,epoch_accuracy_min,epoch_accuracy_max,epoch_precision_mean,epoch_precision_std,epoch_precision_min,epoch_precision_max,epoch_recall_mean,epoch_recall_std,epoch_recall_min,epoch_recall_max,epoch_f1_mean,epoch_f1_std,epoch_f1_min,epoch_f1_max,epoch_roc_auc_mean,epoch_roc_auc_std,epoch_roc_auc_min,epoch_roc_auc_max
Raw EEGNet-like CNN,C:\Users\janre\PycharmProjects\eeg-caffeine-input-representation-cnn\outputs\experiments\2026-07-30_130117_LOSO_nvalsubj1\results\raw_eegnetlike,11,LOSO,5,True,1,42,100,32,0.0003,0.0001,30,30,val_loss,0.0,0.5297288230206123,0.0671568397450452,0.44,0.6544502617801047,0.528885817555292,0.06348912415267859,0.4631578947368421,0.67,0.665361162011743,0.23337109221713587,0.1515151515151515,0.99,0.5650318173115075,0.1284189959698946,0.238095238095238,0.6827586206896552,0.5684027196137508,0.09814765999165113,0.428,0.7007692307692307
Features1D CNN,C:\Users\janre\PycharmProjects\eeg-caffeine-input-representation-cnn\outputs\experiments\2026-07-30_130117_LOSO_nvalsubj1\results\features1d_cnn,11,LOSO,5,True,1,42,100,32,0.0003,0.0001,30,30,val_loss,0.0,0.5247912200169125,0.1204906392441018,0.3768844221105528,0.745,0.6081661497116114,0.23808894175153053,0.3134328358208955,1.0,0.5376548513457827,0.26115910157744593,0.1313131313131313,0.95,0.5045547471846105,0.15707903812954183,0.2321428571428571,0.6702702702702703,0.5251676966088351,0.269638271287701,0.1891666666666666,0.9648
Features2D CNN,C:\Users\janre\PycharmProjects\eeg-caffeine-input-representation-cnn\outputs\experiments\2026-07-30_130117_LOSO_nvalsubj1\results\features2d_cnn,11,LOSO,5,True,1,42,100,32,0.0003,0.0001,30,30,val_loss,0.0,0.563449367655593,0.19735234091021994,0.3333333333333333,0.92,0.6681888637589143,0.266798065769603,0.375,1.0,0.5872999230209965,0.3394601943152502,0.0126582278481012,0.98,0.5229064692063066,0.2866080923603704,0.025,0.9175257731958762,0.5615918311578803,0.29861119129633945,0.2109375,0.9850549450549452
Hybrid Raw + Features CNN,C:\Users\janre\PycharmProjects\eeg-caffeine-input-representation-cnn\outputs\experiments\2026-07-30_130117_LOSO_nvalsubj1\results\hybrid_cnn,11,LOSO,5,True,1,42,100,32,0.0003,0.0001,30,30,val_loss,0.0,0.5510504874499124,0.08923192300868628,0.4387755102040816,0.745,0.6033568032166843,0.1393971330468891,0.4698795180722891,0.8333333333333334,0.5642360087005396,0.2752460306682833,0.05,0.82,0.516557870266171,0.18985959377578698,0.0943396226415094,0.7627906976744186,0.5956849651134013,0.13367853996962784,0.3501041666666666,0.8357999999999999
